Type,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Share Capital +,139,139,140,281,282,285,278,271,543,543,543,543
Reserves,"9,699","13,025","19,410","23,943","27,109","32,664","36,108","41,095","50,724","59,370","61,371","64,862"
Borrowings +,"2,179","1,044","1,018",648,"1,090",582,557,"4,195","7,986","6,864","6,343","4,794"
Other Liabilities +,"6,320","8,191","9,412","10,372","10,859","12,231","11,046","12,788","23,566","19,270","20,664","23,051"
Total Liabilities,"18,338","22,399","29,980","35,245","39,341","45,762","47,989","58,349","82,819","86,047","88,921","93,250"
Fixed Assets +,"6,453","6,753","7,444","8,275","9,716","15,235","18,753","22,888","37,490","37,145","35,077","34,619"
CWIP,578,494,531,552,611,448,320,235,400,312,129,40
Investments,673,713,662,869,698,"1,306","2,660","2,305","7,066","6,862","6,351","5,495"
Other Assets +,"10,633","14,440","21,343","25,548","28,315","28,773","26,256","32,921","37,863","41,728","47,364","53,096"
Total Assets,"18,338","22,399","29,980","35,245","39,341","45,762","47,989","58,349","82,819","86,047","88,921","93,250"
