Type,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023
Sales +,"17,842","18,594","19,302","19,641","20,068","20,655","22,331","22,597","23,464","24,686","26,700","26,606","26,296"
Expenses +,"13,085","13,476","13,678","15,092","15,006","15,633","16,938","17,545","18,489","19,261","20,335","20,743","20,931"
Operating Profit,"4,757","5,118","5,624","4,549","5,062","5,022","5,393","5,052","4,975","5,425","6,365","5,863","5,365"
OPM %,27%,28%,29%,23%,25%,24%,24%,22%,21%,22%,24%,22%,20%
Other Income +,295,199,189,244,255,240,255,317,409,236,260,453,344
Interest,125,80,147,159,89,83,82,65,64,79,116,94,86
Depreciation,"1,065","1,092","1,187","1,267","1,128","1,078","1,136",984,983,998,"1,137","1,027",927
Profit before tax,"3,862","4,145","4,479","3,367","4,100","4,101","4,430","4,320","4,337","4,584","5,372","5,195","4,696"
Tax %,24%,24%,11%,67%,22%,20%,22%,17%,24%,24%,24%,23%,25%
Net Profit +,"2,935","3,146","3,977","1,111","3,213","3,263","3,448","3,599","3,281","3,487","4,096","3,981","3,531"
EPS in Rs,10.80,11.58,14.63,4.06,11.81,12.01,12.68,13.24,12.10,12.86,15.09,14.68,13.02
Raw PDF,,,,,,,,,,,,,
