Type,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023
Sales +,"23,665","24,570","25,927","26,311","27,896","29,602","31,867","32,276","34,470","36,538","38,318","37,441","37,933"
Expenses +,"17,544","17,487","18,512","19,040","20,464","21,771","23,484","24,430","26,606","27,636","28,951","28,443","28,869"
Operating Profit,"6,121","7,083","7,415","7,271","7,432","7,831","8,383","7,846","7,864","8,902","9,367","8,998","9,064"
OPM %,26%,29%,29%,28%,27%,26%,26%,24%,23%,24%,24%,24%,24%
Other Income +,475,570,611,545,622,524,512,637,676,584,769,671,561
Interest,48,48,49,50,49,48,53,50,56,66,80,82,90
Depreciation,756,855,826,831,829,859,899,890,950,"1,029","1,125","1,121","1,173"
Profit before tax,"5,792","6,750","7,151","6,935","7,176","7,448","7,943","7,543","7,534","8,391","8,931","8,466","8,362"
Tax %,26%,28%,27%,27%,28%,27%,27%,24%,29%,28%,26%,28%,29%
Net Profit +,"4,272","4,858","5,215","5,078","5,201","5,428","5,822","5,695","5,362","6,026","6,586","6,134","5,945"
EPS in Rs,9.94,11.37,12.20,11.91,12.20,12.89,13.81,13.52,12.74,14.31,15.70,14.77,14.32
Raw PDF,,,,,,,,,,,,,
