Type,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023
Sales +,"1,295","1,314","1,401","1,440","1,518","1,608","1,688","1,756","2,006","1,995","2,049","2,371","2,301"
Expenses +,"1,089","1,081","1,125","1,147","1,201","1,258","1,320","1,376","1,598","1,576","1,607","1,890","1,849"
Operating Profit,206,233,276,293,318,349,367,380,408,419,441,480,453
OPM %,16%,18%,20%,20%,21%,22%,22%,22%,20%,21%,22%,20%,20%
Other Income +,14,57,49,35,44,29,37,42,41,39,74,50,48
Interest,11,11,11,12,11,11,11,10,11,11,12,11,12
Depreciation,49,53,62,54,55,53,53,53,59,59,58,57,57
Profit before tax,160,226,251,261,296,314,340,359,379,389,446,462,431
Tax %,26%,26%,25%,25%,27%,27%,27%,27%,27%,27%,32%,26%,28%
Net Profit +,118,166,187,195,217,231,250,263,276,283,305,341,312
EPS in Rs,11.21,15.78,17.72,18.52,20.58,21.87,23.59,24.83,26.09,26.75,28.75,32.20,29.44
Raw PDF,,,,,,,,,,,,,
