Type,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023
Sales +,"38,322","40,135","42,015","43,705","45,411","46,867","48,885","50,591","52,758","55,309","58,229","59,162","59,381"
Expenses +,"28,298","28,622","29,807","30,904","32,748","33,751","35,452","36,746","39,342","40,793","42,676","43,388","44,383"
Operating Profit,"10,024","11,513","12,208","12,801","12,663","13,116","13,433","13,845","13,416","14,516","15,553","15,774","14,998"
OPM %,26%,29%,29%,29%,28%,28%,27%,27%,25%,26%,27%,27%,25%
Other Income +,598,-304,691,931,721,"1,111","1,205",981,789,965,520,"1,175","1,397"
Interest,142,174,183,138,146,142,251,245,199,148,160,272,163
Depreciation,976,998,"1,024","1,067","1,075","1,116","1,196","1,217","1,230","1,237","1,269","1,286","1,243"
Profit before tax,"9,504","10,037","11,692","12,527","12,163","12,969","13,191","13,364","12,776","14,096","14,644","15,391","14,989"
Tax %,26%,25%,25%,26%,26%,26%,26%,25%,25%,26%,26%,26%,26%
Net Profit +,"7,049","7,504","8,727","9,282","9,031","9,653","9,806","9,959","9,519","10,465","10,883","11,436","11,120"
EPS in Rs,18.68,19.92,23.19,25.00,24.35,26.02,26.41,27.13,25.90,28.51,29.64,31.13,30.26
Raw PDF,,,,,,,,,,,,,
