Type,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Share Capital +,492,492,493,494,494,486,905,"1,207","1,143","1,096","1,096","1,098"
Reserves,"26,526","26,072","31,636","36,598","45,651","51,184","47,022","55,216","54,179","53,805","64,307","76,570"
Borrowings +,"5,896","6,381","5,159","7,891","12,522","14,241","13,901","9,947","9,724","10,451","17,593","17,467"
Other Liabilities +,"10,318","10,675","12,245","13,367","12,924","12,761","13,563","16,217","15,954","17,213","24,280","21,789"
Total Liabilities,"43,231","43,621","49,533","58,350","71,590","78,672","75,391","82,586","81,000","82,566","107,276","116,924"
Fixed Assets +,"12,436","9,996","10,649","10,837","17,279","19,886","18,127","17,465","22,062","23,040","37,990","44,757"
CWIP,347,407,369,395,381,738,"1,378","2,142","1,881","1,853","1,602",617
Investments,"4,472","6,765","6,146","5,532","20,915","29,913","25,797","22,887","20,032","18,775","26,154","33,073"
Other Assets +,"25,977","26,454","32,368","41,586","33,016","28,135","30,090","40,093","37,024","38,898","41,531","38,477"
Total Assets,"43,231","43,621","49,533","58,350","71,590","78,672","75,391","82,586","81,000","82,566","107,276","116,924"
