Type,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023
Sales +,"14,923","15,097","15,670","16,245","18,467","19,669","20,315","20,861","21,529","22,540","23,229","23,190","22,831"
Expenses +,"11,734","11,660","11,553","12,218","14,272","15,500","16,134","16,724","17,671","18,605","18,682","18,685","18,635"
Operating Profit,"3,189","3,437","4,117","4,028","4,195","4,169","4,181","4,136","3,858","3,934","4,547","4,505","4,196"
OPM %,21%,23%,26%,25%,23%,21%,21%,20%,18%,17%,20%,19%,18%
Other Income +,652,555,664,534,579,505,484,502,472,510,641,646,648
Interest,130,127,140,112,75,146,140,172,204,227,290,286,309
Depreciation,615,658,791,699,826,772,746,734,774,797,923,847,738
Profit before tax,"3,095","3,207","3,850","3,750","3,873","3,756","3,779","3,732","3,352","3,420","3,975","4,018","3,798"
Tax %,22%,23%,22%,21%,16%,22%,21%,17%,24%,23%,23%,23%,24%
Net Profit +,"2,412","2,484","2,998","2,974","3,248","2,931","2,972","3,092","2,559","2,649","3,065","3,094","2,886"
EPS in Rs,4.18,4.31,5.19,5.42,5.92,5.35,5.42,5.63,4.68,4.85,5.56,5.60,5.23
Raw PDF,,,,,,,,,,,,,
