datetime,open,high,low,close,Adj Close,volume
2011-01-03,538.5,539.2,532.69,534.09,534.09,2379838
2011-01-04,536.16,545.48,534.89,544.17,544.17,5033831
2011-01-05,545.53,550.22,540.84,543.56,543.56,5930189
2011-01-06,544.59,550.88,542.98,548.16,548.16,4974697
2011-01-07,546.14,549.16,535.22,538.69,538.69,4085949
2011-01-10,538.69,541.05,517.97,523.71,523.71,4223855
2011-01-11,526.78,530.86,507.38,514.48,514.48,4833870
2011-01-12,517.71,524.74,509.44,522.47,522.47,5301987
2011-01-13,522.09,526.38,513.23,515.23,515.23,5562896
2011-01-14,514.62,522.0,507.09,508.73,508.73,4368638
2011-01-17,509.44,511.78,504.3,507.05,507.05,3210798
2011-01-18,510.3,511.78,503.34,505.62,505.62,3399381
2011-01-19,507.84,510.38,496.31,498.73,498.73,5369775
2011-01-21,496.31,504.52,495.38,501.84,501.84,4463927
2011-01-24,505.73,506.11,491.2,494.72,494.72,5084310
2011-01-25,497.3,500.98,487.52,488.58,488.58,4646080
2011-01-27,492.09,492.75,479.91,481.17,481.17,6424365
2011-01-28,482.25,482.67,462.09,467.25,467.25,7738844
2011-01-31,465.3,474.68,462.61,470.2,470.2,5790572
2011-02-01,472.92,474.14,455.79,459.05,459.05,8663045
2011-02-03,474.28,483.42,468.19,481.73,481.73,3896824
2011-02-04,483.38,483.38,467.32,470.53,470.53,4735179
2011-02-07,473.2,479.34,467.91,474.77,474.77,3334195
2011-02-08,477.89,477.89,466.43,468.3,468.3,4499736
2011-02-09,465.09,478.59,462.87,467.86,467.86,8738283
2011-02-10,467.02,470.91,454.17,460.99,460.99,6479831
2011-02-11,461.13,468.19,455.55,465.82,465.82,4574486
2011-02-14,464.02,469.71,458.39,468.09,468.09,6890857
2011-02-15,467.91,482.16,466.45,480.7,480.7,6232645
2011-02-16,479.11,484.97,479.02,481.85,481.85,2523913
2011-02-17,483.59,487.15,478.15,486.45,486.45,3221065
2011-02-18,487.43,490.69,476.16,477.82,477.82,3599714
2011-02-21,478.08,489.7,477.19,487.57,487.57,5858555
2011-02-22,504.28,512.44,498.3,500.93,500.93,20326289
2011-02-23,501.66,509.11,501.0,505.99,505.99,7128252
2011-02-24,506.16,507.38,488.51,491.25,491.25,7521221
2011-02-25,498.98,499.71,486.73,492.21,492.21,3451930
2011-02-28,494.06,505.36,489.28,491.27,491.27,5140248
2011-03-01,495.7,504.61,492.66,502.8,502.8,2885282
2011-03-03,496.41,501.0,493.08,497.44,497.44,4461643
2011-03-04,500.84,505.59,497.77,499.69,499.69,3524743
2011-03-07,495.89,500.2,491.16,497.27,497.27,2702156
2011-03-08,497.72,504.47,497.72,500.98,500.98,2756185
2011-03-09,502.73,510.09,493.08,505.15,505.15,7422840
2011-03-10,504.61,504.75,499.59,500.88,500.88,2252418
2011-03-11,498.09,505.64,494.98,504.3,504.3,3428848
2011-03-14,504.73,517.76,504.4,516.63,516.63,6585771
2011-03-15,507.07,531.28,502.83,525.49,525.49,12902924
2011-03-16,529.13,533.81,525.89,530.11,530.11,4709984
2011-03-17,526.45,530.91,521.16,522.49,522.49,2830269
2011-03-18,524.44,524.44,501.75,504.75,504.75,9258050
2011-03-21,507.59,508.03,499.17,503.48,503.48,3553732
2011-03-22,504.77,510.33,504.35,507.87,507.87,2238646
2011-03-23,507.96,515.84,506.06,514.24,514.24,2610417
2011-03-24,515.48,518.32,509.84,512.86,512.86,2567887
2011-03-25,519.23,522.07,512.72,520.5,520.5,3518453
2011-03-28,520.34,525.07,514.73,520.08,520.08,4361259
2011-03-29,517.41,523.03,517.22,518.7,518.7,4137811
2011-03-30,520.92,525.61,519.33,523.27,523.27,2801842
2011-03-31,524.2,533.77,524.2,531.05,531.05,7201048
2011-04-01,531.02,538.92,522.56,525.09,525.09,4291094
2011-04-04,526.78,533.72,521.63,531.77,531.77,2997121
2011-04-05,532.64,535.69,526.78,530.37,530.37,2458823
2011-04-06,529.13,533.46,526.78,529.05,529.05,2076283
2011-04-07,529.15,530.32,524.48,527.67,527.67,2323242
2011-04-08,527.72,531.89,517.71,519.23,519.23,2742024
2011-04-11,514.13,517.15,509.74,510.52,510.52,2582208
2011-04-13,508.9,519.28,506.44,518.25,518.25,4369725
2011-04-15,516.77,519.68,510.38,517.85,517.85,3240001
