===============================================================================
Id,testing,len,datetime,open,high,low,close,volume,openinterest,adjclose,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,testing,1,2007-01-02 23:59:59.999989,3966.25,4016.65,3964.95,4007.4,277443911.0,0.0,4007.4,MyStrategy,1,732678.9999999999,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,testing,2,2007-01-03 23:59:59.999989,4007.7,4029.8,3985.0,4024.05,336972857.0,0.0,4024.05,MyStrategy,2,732679.9999999999,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,testing,3,2007-01-04 23:59:59.999989,4027.3,4041.0,3979.8,3988.8,369793444.0,0.0,3988.8,MyStrategy,3,732680.9999999999,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,testing,4,2007-01-05 23:59:59.999989,3990.15,4011.45,3969.65,3983.4,363396365.0,0.0,3983.4,MyStrategy,4,732681.9999999999,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,testing,5,2007-01-08 23:59:59.999989,3983.3,3987.45,3913.0,3933.4,345887697.0,0.0,3933.4,MyStrategy,5,732684.9999999999,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,testing,6,2007-01-09 23:59:59.999989,3933.3,3963.75,3890.75,3911.4,399069534.0,0.0,3911.4,MyStrategy,6,732685.9999999999,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,testing,7,2007-01-10 23:59:59.999989,3910.95,3911.95,3841.7,3850.3,470122195.0,0.0,3850.3,MyStrategy,7,732686.9999999999,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,testing,8,2007-01-12 23:59:59.999989,3944.55,4059.15,3944.55,4052.45,562745428.0,0.0,4052.45,MyStrategy,8,732688.9999999999,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,testing,9,2007-01-15 23:59:59.999989,4052.85,4099.65,4052.4,4078.4,519304287.0,0.0,4078.4,MyStrategy,9,732691.9999999999,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,testing,10,2007-01-16 23:59:59.999989,4090.7,4107.45,4067.9,4080.5,529853418.0,0.0,4080.5,MyStrategy,10,732692.9999999999,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
