datetime,open,high,low,close,volume,month-year,PP,R1,S1,R2,S2,R3,S3,rsi,ema,sma,UP_BB,MID_BB,LOW_BB
2007-01-02,3966.25,4016.65,3964.95,4007.4,277443911,2006-12,,,,,,,,,,,,,
2007-01-03,4007.7,4029.8,3985.0,4024.05,336972857,2006-12,,,,,,,,,,,,,
2007-01-04,4027.3,4041.0,3979.8,3988.8,369793444,2006-12,,,,,,,,,,,,,
2007-01-05,3990.15,4011.45,3969.65,3983.4,363396365,2006-12,,,,,,,,,,,,,
2007-01-08,3983.3,3987.45,3913.0,3933.4,345887697,2006-12,,,,,,,,,,,,,
2007-01-09,3933.3,3963.75,3890.75,3911.4,399069534,2006-12,,,,,,,,,,,,,
2007-01-10,3910.95,3911.95,3841.7,3850.3,470122195,2006-12,,,,,,,,,,,,,
2007-01-12,3944.55,4059.15,3944.55,4052.45,562745428,2006-12,,,,,,,,,,,,,
2007-01-15,4052.85,4099.65,4052.4,4078.4,519304287,2006-12,,,,,,,,,,,,,
2007-01-16,4090.7,4107.45,4067.9,4080.5,529853418,2006-12,,,,,,,,,3991.0099999999998,,,,
2007-01-17,4084.9,4096.75,4071.55,4076.45,533255865,2006-12,,,,,,,,,4006.544545454545,,,,
2007-01-18,4075.2,4140.25,4075.2,4109.05,585093104,2006-12,,,,,,,,,4025.181900826446,,,,
2007-01-19,4126.0,4137.15,4058.35,4090.15,422526593,2006-12,,,,,,,,,4036.994282494365,,,,
2007-01-22,4089.6,4114.5,4069.95,4102.45,378459073,2006-12,,,,,,,,,4048.895322040844,,,,
2007-01-23,4102.65,4105.1,4056.45,4066.1,400057324,2006-12,,,,,,,,55.59260670731706,4052.023445306145,,,,
2007-01-24,4066.6,4098.25,4065.75,4089.9,400148883,2006-12,,,,,,,,57.66043378612555,4058.9100916141183,,,,
2007-01-25,4092.05,4157.95,4090.1,4147.7,524574773,2006-12,,,,,,,,62.25697545605432,4075.0537113206424,,,,
2007-01-29,4148.4,4167.15,4115.75,4124.45,391021532,2006-12,,,,,,,,59.46060980781891,4084.034854716889,,,,
2007-01-31,4123.85,4137.85,4068.55,4082.7,455866905,2006-12,,,,,,,,54.70857564478238,4083.7921538592727,,,,
2007-02-01,4083.4,4141.6,4081.1,4137.2,393494286,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,59.28313468030698,4093.502671339405,4046.812499999999,4201.121510997507,4046.812499999999,3892.5034890024904
2007-02-02,4140.2,4198.7,4132.95,4183.5,457317404,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,62.727367473646,4109.865822004967,4055.6174999999994,4219.712546467051,4055.6174999999994,3891.5224535329485
2007-02-05,4193.15,4219.0,4170.0,4215.35,528711124,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,64.92535191215421,4129.04476345861,4065.1825,4242.565758158736,4065.1825,3887.799241841264
2007-02-06,4216.55,4228.15,4186.15,4195.9,597908869,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,62.50142609233652,4141.20026101159,4075.5374999999995,4257.983305309485,4075.5374999999995,3893.0916946905136
2007-02-07,4198.2,4232.3,4192.85,4224.25,555567289,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,64.57731735850071,4156.300213554937,4087.5799999999995,4275.81284091789,4087.5799999999995,3899.347159082109
2007-02-08,4232.0,4245.3,4188.45,4223.4,466303879,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,64.46209286772311,4168.500174726766,4102.08,4285.180306935869,4102.08,3918.9796930641305
2007-02-09,4223.5,4239.2,4171.8,4187.4,485592302,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,59.61079470037832,4171.936506594627,4115.879999999999,4280.038735375368,4115.879999999999,3951.721264624631
2007-02-12,4187.2,4187.2,4044.35,4058.3,482197819,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,46.18684567550766,4151.275323577422,4126.28,4240.61282293379,4126.28,4011.947177066209
2007-02-13,4069.1,4132.7,3998.3,4044.55,495793171,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,45.02389946478016,4131.870719290618,4125.885,4241.284978769509,4125.885,4010.4850212304923
2007-02-14,4044.9,4057.35,3965.2,4047.1,437353293,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,45.29897940403361,4116.457861237778,4124.320000000001,4243.054192211028,4124.320000000001,4005.5858077889734
2007-02-15,4046.8,4155.7,4046.8,4146.2,474809964,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,54.770594202596214,4121.865522830909,4127.6050000000005,4244.935098014156,4127.6050000000005,4010.274901985845
2007-02-19,4149.25,4177.7,4149.25,4164.55,381747829,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,56.28016743236239,4129.626336861653,4132.01,4247.933921603781,4132.01,4016.08607839622
