===============================================================================
Id,nifty_1day_continous,len,datetime,open,high,low,close,volume,openinterest,adjclose,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,nifty_1day_continous,1,2007-01-02 23:59:59.999989,274594977.29,278084315.3,274504974.53,277443911.0,0.0,0.0,277443911.0,MyStrategy,1,732678.9999999999,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,nifty_1day_continous,2,2007-01-03 23:59:59.999989,335603712.43,337454360.44,333702820.58,336972857.0,0.0,0.0,336972857.0,MyStrategy,2,732679.9999999999,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,nifty_1day_continous,3,2007-01-04 23:59:59.999989,373362699.81,374632798.64,368959072.51,369793444.0,0.0,0.0,369793444.0,MyStrategy,3,732680.9999999999,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,nifty_1day_continous,4,2007-01-05 23:59:59.999989,364012151.88,365955301.6,362141984.32,363396365.0,0.0,0.0,363396365.0,MyStrategy,4,732681.9999999999,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,nifty_1day_continous,5,2007-01-08 23:59:59.999989,350275706.38,350640641.02,344093801.38,345887697.0,0.0,0.0,345887697.0,MyStrategy,5,732684.9999999999,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,nifty_1day_continous,6,2007-01-09 23:59:59.999989,401303931.61,404410662.52,396962670.5,399069534.0,0.0,0.0,399069534.0,MyStrategy,6,732685.9999999999,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,nifty_1day_continous,7,2007-01-10 23:59:59.999989,477527568.9,477649669.05,469072133.74,470122195.0,0.0,0.0,470122195.0,MyStrategy,7,732686.9999999999,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,nifty_1day_continous,8,2007-01-12 23:59:59.999989,547761842.35,563675826.74,547761842.35,562745428.0,0.0,0.0,562745428.0,MyStrategy,8,732688.9999999999,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,nifty_1day_continous,9,2007-01-15 23:59:59.999989,516050995.38,522010057.91,515993696.7,519304287.0,0.0,0.0,519304287.0,MyStrategy,9,732691.9999999999,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,nifty_1day_continous,10,2007-01-16 23:59:59.999989,531177889.23,533352878.76,528217306.48,529853418.0,0.0,0.0,529853418.0,MyStrategy,10,732692.9999999999,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,nifty_1day_continous,11,2007-01-17 23:59:59.999989,534361241.51,535911384.89,532614877.44,533255865.0,0.0,0.0,533255865.0,MyStrategy,11,732693.9999999999,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,nifty_1day_continous,12,2007-01-18 23:59:59.999989,580273157.4,589535713.57,580273157.4,585093104.0,0.0,0.0,585093104.0,MyStrategy,12,732694.9999999999,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,nifty_1day_continous,13,2007-01-19 23:59:59.999989,426230021.57,427381855.0,419241543.39,422526593.0,0.0,0.0,422526593.0,MyStrategy,13,732695.9999999999,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,nifty_1day_continous,14,2007-01-22 23:59:59.999989,377273635.25,379570709.18,375460884.14,378459073.0,0.0,0.0,378459073.0,MyStrategy,14,732698.9999999999,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,nifty_1day_continous,15,2007-01-23 23:59:59.999989,403653422.27,403894474.01,399107875.34,400057324.0,0.0,0.0,400057324.0,MyStrategy,15,732699.9999999999,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,nifty_1day_continous,16,2007-01-24 23:59:59.999989,397869250.5,400965832.85,397786087.94,400148883.0,0.0,0.0,400148883.0,MyStrategy,16,732700.9999999999,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,nifty_1day_continous,17,2007-01-25 23:59:59.999989,517536514.18,525871127.95,517289890.55,524574773.0,0.0,0.0,524574773.0,MyStrategy,17,732701.9999999999,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,nifty_1day_continous,18,2007-01-29 23:59:59.999989,393292129.46,395069737.07,390196722.07,391021532.0,0.0,0.0,391021532.0,MyStrategy,18,732705.9999999999,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,nifty_1day_continous,19,2007-01-31 23:59:59.999989,460461639.65,462024854.35,454286941.57,455866905.0,0.0,0.0,455866905.0,MyStrategy,19,732707.9999999999,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,nifty_1day_continous,20,2007-02-01 23:59:59.999989,388377300.46,393912775.52,388158544.57,393494286.0,0.0,0.0,393494286.0,MyStrategy,20,732708.9999999999,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,nifty_1day_continous,21,2007-02-02 23:59:59.999989,452584084.15,458978985.1,451791553.69,457317404.0,0.0,0.0,457317404.0,MyStrategy,21,732709.9999999999,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,nifty_1day_continous,22,2007-02-05 23:59:59.999989,525926684.52,529168925.99,523023091.1,528711124.0,0.0,0.0,528711124.0,MyStrategy,22,732712.9999999999,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,nifty_1day_continous,23,2007-02-06 23:59:59.999989,600851460.14,602504441.11,596519509.99,597908869.0,0.0,0.0,597908869.0,MyStrategy,23,732713.9999999999,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,nifty_1day_continous,24,2007-02-07 23:59:59.999989,552141230.44,556626013.43,551437606.13,555567289.0,0.0,0.0,555567289.0,MyStrategy,24,732714.9999999999,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,nifty_1day_continous,25,2007-02-08 23:59:59.999989,467253401.51,468721849.11,462445063.69,466303879.0,0.0,0.0,466303879.0,MyStrategy,25,732715.9999999999,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,nifty_1day_continous,26,2007-02-09 23:59:59.999989,489778642.47,491599294.7,483783246.28,485592302.0,0.0,0.0,485592302.0,MyStrategy,26,732716.9999999999,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,nifty_1day_continous,27,2007-02-12 23:59:59.999989,497513418.85,497513418.85,480540312.27,482197819.0,0.0,0.0,482197819.0,MyStrategy,27,732719.9999999999,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,nifty_1day_continous,28,2007-02-13 23:59:59.999989,498802584.25,506598864.59,490123706.13,495793171.0,0.0,0.0,495793171.0,MyStrategy,28,732720.9999999999,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,nifty_1day_continous,29,2007-02-14 23:59:59.999989,437115548.13,438460967.94,428502700.06,437353293.0,0.0,0.0,437353293.0,MyStrategy,29,732721.9999999999,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,nifty_1day_continous,30,2007-02-15 23:59:59.999989,463426984.3,475897874.53,463426984.3,474809964.0,0.0,0.0,474809964.0,MyStrategy,30,732722.9999999999,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,nifty_1day_continous,31,2007-02-19 23:59:59.999989,380345338.51,382953237.5,380345338.51,381747829.0,0.0,0.0,381747829.0,MyStrategy,31,732726.9999999999,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
