datetime,open,high,low,volume,close
2007-01-02,3966.25,4016.65,3964.95,277443911,4007.4
2007-01-03,4007.7,4029.8,3985.0,336972857,4024.05
2007-01-04,4027.3,4041.0,3979.8,369793444,3988.8
2007-01-05,3990.15,4011.45,3969.65,363396365,3983.4
2007-01-08,3983.3,3987.45,3913.0,345887697,3933.4
2007-01-09,3933.3,3963.75,3890.75,399069534,3911.4
2007-01-10,3910.95,3911.95,3841.7,470122195,3850.3
2007-01-12,3944.55,4059.15,3944.55,562745428,4052.45
2007-01-15,4052.85,4099.65,4052.4,519304287,4078.4
2007-01-16,4090.7,4107.45,4067.9,529853418,4080.5
2007-01-17,4084.9,4096.75,4071.55,533255865,4076.45
2007-01-18,4075.2,4140.25,4075.2,585093104,4109.05
2007-01-19,4126.0,4137.15,4058.35,422526593,4090.15
2007-01-22,4089.6,4114.5,4069.95,378459073,4102.45
2007-01-23,4102.65,4105.1,4056.45,400057324,4066.1
2007-01-24,4066.6,4098.25,4065.75,400148883,4089.9
2007-01-25,4092.05,4157.95,4090.1,524574773,4147.7
2007-01-29,4148.4,4167.15,4115.75,391021532,4124.45
2007-01-31,4123.85,4137.85,4068.55,455866905,4082.7
2007-02-01,4083.4,4141.6,4081.1,393494286,4137.2
2007-02-02,4140.2,4198.7,4132.95,457317404,4183.5
2007-02-05,4193.15,4219.0,4170.0,528711124,4215.35
2007-02-06,4216.55,4228.15,4186.15,597908869,4195.9
2007-02-07,4198.2,4232.3,4192.85,555567289,4224.25
2007-02-08,4232.0,4245.3,4188.45,466303879,4223.4
2007-02-09,4223.5,4239.2,4171.8,485592302,4187.4
2007-02-12,4187.2,4187.2,4044.35,482197819,4058.3
2007-02-13,4069.1,4132.7,3998.3,495793171,4044.55
2007-02-14,4044.9,4057.35,3965.2,437353293,4047.1
2007-02-15,4046.8,4155.7,4046.8,474809964,4146.2
2007-02-19,4149.25,4177.7,4149.25,381747829,4164.55
2007-02-20,4164.85,4175.45,4099.55,372112098,4106.95
2007-02-21,4107.15,4132.8,4080.9,438430887,4096.2
2007-02-22,4096.65,4126.9,4023.15,522165791,4040.0
2007-02-23,4046.0,4065.45,3918.2,524935570,3938.95
2007-02-27,3948.05,3958.0,3873.85,404244314,3893.9
2007-02-28,3893.4,3893.4,3674.85,566851862,3745.3
2007-03-01,3745.4,3818.75,3718.15,553669621,3811.2
2007-03-02,3811.65,3842.05,3711.05,412833494,3726.75
2007-03-05,3726.5,3726.65,3554.5,411639707,3576.5
2007-03-06,3577.15,3679.15,3576.65,450037350,3655.65
2007-03-07,3661.55,3714.15,3568.55,423758164,3626.85
2007-03-08,3627.25,3779.5,3626.8,424067032,3761.65
2007-03-09,3761.85,3795.7,3684.25,572289424,3718.0
2007-03-12,3717.45,3781.45,3713.9,463261648,3734.6
2007-03-13,3735.25,3775.85,3717.15,359892563,3770.55
2007-03-14,3768.4,3768.4,3623.0,342322027,3641.1
2007-03-15,3644.9,3711.05,3630.55,326846169,3643.6
2007-03-19,3611.3,3683.35,3602.85,280959509,3678.9
2007-03-20,3680.35,3725.0,3676.65,300398192,3697.6
2007-03-21,3697.7,3771.2,3680.6,273498339,3764.55
2007-03-22,3764.5,3881.0,3764.5,383697318,3875.9
2007-03-26,3863.45,3885.45,3768.25,332777600,3819.95
2007-03-28,3818.75,3830.3,3752.95,386850213,3761.1
2007-03-29,3759.15,3805.85,3750.35,471319424,3798.1
2007-03-30,3788.85,3832.2,3785.3,352593189,3821.55
2007-04-02,3820.0,3820.0,3617.0,324897170,3633.6
2007-04-03,3633.85,3703.05,3632.2,310705061,3690.65
2007-04-04,3689.75,3751.4,3689.75,309387456,3733.25
2007-04-05,3735.2,3771.45,3709.15,423126698,3752.0
2007-04-09,3752.9,3850.9,3747.25,342598395,3843.5
2007-04-10,3844.15,3858.35,3819.3,394249580,3848.15
2007-04-11,3848.35,3876.35,3844.75,380504123,3862.65
2007-04-12,3861.85,3861.85,3811.25,342937224,3829.85
2007-04-13,3830.35,3924.55,3828.45,367911896,3917.35
2007-04-16,3920.5,4016.8,3920.5,382301481,4013.35
2007-04-17,4014.4,4030.0,3976.25,376270395,3984.95
2007-04-18,3989.6,4039.25,3981.75,404059931,4011.6
2007-04-19,3998.5,4011.0,3933.35,367058426,3997.65
2007-04-20,4000.25,4090.05,3995.5,399939962,4083.55
2007-04-23,4083.55,4122.35,4075.2,383744660,4085.1
2007-04-24,4085.1,4162.15,4057.7,412398922,4141.8
2007-04-25,4134.25,4173.3,4114.35,497594709,4167.3
2007-04-26,4170.05,4217.9,4143.25,512405559,4177.85
2007-04-30,4081.6,4096.9,4028.9,370192163,4087.9
2007-05-03,4089.45,4161.2,4080.75,495768617,4150.85
2007-05-04,4168.9,4180.9,4109.7,537073446,4117.35
2007-05-07,4117.5,4157.65,4103.6,474209359,4111.15
2007-05-08,4111.25,4136.05,4066.4,424501904,4077.0
2007-05-09,4077.25,4087.8,4030.55,412080524,4079.3
2007-05-10,4079.6,4134.2,4057.55,447976617,4066.8
2007-05-11,4070.2,4094.65,3981.15,467388464,4076.65
2007-05-14,4078.8,4151.3,4072.45,484956300,4134.3
2007-05-15,4134.3,4150.45,4102.45,502699324,4120.3
2007-05-16,4125.4,4181.0,4113.05,522237761,4170.95
2007-05-17,4172.1,4232.45,4172.1,581485432,4219.55
2007-05-18,4216.5,4228.45,4177.0,429751137,4214.5
2007-05-21,4217.65,4269.35,4217.55,460203919,4260.9
2007-05-22,4263.1,4281.6,4234.1,474881421,4278.1
2007-05-23,4279.6,4291.4,4231.05,457898547,4246.2
2007-05-24,4246.2,4250.85,4189.05,388417270,4204.9
2007-05-25,4197.85,4256.4,4141.35,405751225,4248.15
2007-05-28,4248.35,4295.6,4242.8,437521836,4256.55
2007-05-29,4257.6,4298.85,4248.9,427433071,4293.25
2007-05-30,4292.7,4301.6,4241.35,454332850,4249.65
2007-06-01,4296.05,4325.8,4288.55,424663623,4297.05
2007-06-04,4300.7,4362.95,4256.45,396637536,4267.05
2007-06-05,4268.9,4292.5,4249.1,418626922,4284.65
2007-06-06,4285.75,4324.1,4190.95,478479006,4198.25
2007-06-07,4197.6,4230.05,4130.5,431064245,4179.5
2007-06-08,4179.5,4195.15,4126.1,411644788,4145.0
2007-06-11,4183.75,4205.2,4134.95,315465293,4145.6
2007-06-12,4139.7,4166.85,4100.8,337608484,4155.2
2007-06-13,4155.2,4161.8,4102.95,311057234,4113.05
2007-06-14,4113.2,4174.05,4112.85,312418312,4170.0
2007-06-15,4186.4,4209.45,4153.7,350542849,4171.45
2007-06-18,4177.0,4208.15,4140.25,316967335,4147.1
2007-06-19,4143.85,4222.4,4136.15,311020181,4214.3
2007-06-20,4214.3,4257.0,4214.3,361686619,4248.65
2007-06-21,4248.65,4275.35,4220.1,354694566,4267.4
2007-06-22,4267.55,4278.85,4242.5,340603275,4252.05
2007-06-25,4251.4,4264.25,4236.3,295713515,4259.4
2007-06-26,4259.4,4296.15,4250.1,347724674,4285.7
2007-06-27,4286.2,4294.2,4255.25,374196940,4263.95
2007-06-28,4263.9,4291.4,4256.9,573585414,4282.0
2007-06-29,4282.4,4321.35,4280.95,499167396,4318.3
2007-07-02,4318.4,4346.75,4305.45,466613588,4313.75
2007-07-03,4315.05,4363.35,4313.55,487852412,4357.55
2007-07-04,4358.25,4386.45,4342.0,450921752,4359.3
2007-07-06,4353.1,4411.0,4304.0,483039254,4384.85
2007-07-10,4419.1,4434.45,4393.0,425449261,4406.05
2007-07-11,4403.8,4411.45,4344.7,465520060,4387.15
2007-07-12,4388.05,4451.95,4387.05,516278795,4446.15
2007-07-13,4446.4,4513.9,4446.05,530571974,4504.55
2007-07-16,4505.95,4521.85,4495.95,462168201,4512.15
2007-07-17,4497.1,4550.25,4488.25,541325326,4496.75
2007-07-18,4498.65,4510.8,4452.85,486413586,4499.55
2007-07-19,4500.35,4573.0,4496.2,455512054,4562.1
2007-07-20,4563.75,4600.8,4553.8,525557278,4566.05
2007-07-23,4564.25,4628.45,4547.2,441593312,4619.35
2007-07-24,4620.05,4647.95,4609.75,461742018,4620.75
2007-07-25,4620.5,4620.5,4555.8,459119001,4588.7
2007-07-26,4593.1,4624.3,4570.8,581182198,4619.8
2007-07-27,4618.65,4618.9,4424.25,550064899,4445.2
2007-07-30,4442.35,4493.05,4403.7,418819341,4440.05
2007-07-31,4444.25,4534.2,4432.85,423670664,4528.85
2007-08-01,4528.85,4532.9,4339.75,434386119,4345.85
2007-08-02,4356.35,4399.75,4327.0,373752838,4356.35
2007-08-03,4355.75,4428.1,4355.75,372096821,4401.55
2007-08-06,4404.05,4404.05,4267.15,404456682,4339.5
2007-08-07,4341.5,4406.4,4341.5,418441938,4356.35
2007-08-08,4357.0,4472.15,4356.75,458442835,4462.1
2007-08-09,4462.25,4530.05,4390.8,506938334,4403.2
2007-08-13,4324.65,4383.8,4324.65,418760500,4373.65
2007-08-14,4373.9,4394.3,4354.35,427132156,4370.2
2007-08-16,4366.0,4366.0,4171.15,529571124,4178.6
